#,Category,Question,Evidence,Gate
6.4,Management,Is there a robust delivery strategy in place and has this been agreed by key stakeholders?,"_      The Project should demonstrate a clear delivery strategy showing:
_      Evidence that key factors influencing the delivery strategy have been identified and impact assessed. E.g. risk appetite, lessons learned from previous projects/phases, market conditions.
_      Evidence that these factors have been taken into account in the design of the chosen delivery strategy.
_      Efficiency and predictability of the delivery process has been considered, with a process in place for addressing the impact of any deviation from the plan and timetable, and plans for two-way communications with stakeholders and suppliers.
_       Endorsement by the Dept, Cabinet Office and HMT. Clear documentation of sponsoring department, HMT, Cabinet Office alignment and areas of disagreement. Evidence
that these tensions are understood and manageable.
_      Business continuity and future exit, handover and transition strategies have been considered at a high level.
_      Evidence of approval by key stakeholders.",GATE_3
6.5,Management,Is there an effective governance structure with clearly aligned goals and incentives?,"_      A clear Governance Responsible, Accountable, Consulted and Informed RACI is in place.
_      Formal Project Portfolio Management (PPM) methodologies are in use.
_      The project should demonstrate that it has adequate leadership which includes a definitive SRO and Programme, and Project Directors (where the projects are of a certain size and complexity). The governance framework
should be clearly outlined with a clear owner for the project.
_      An SRO appointment letter must be in place.
_      The SRO must demonstrate that they are undertaking their responsibilities as required in relevant policy initiatives.",GATE_3
6.6,Management,Does the project have an effective Sponsor function in place? Is the project able to demonstrate the interface and roles and responsibilities between the SRO/Sponsor/ Accounting Officer (AO) (Arms Length Body (ALB)/ Department)?,"_      Defined Sponsor requirements that can be traced through to the scope used to drive the project baseline.
_      Interviewees show a consistent understanding of respective responsibilities and healthy tension between sponsor and delivery team.
_      Signed Osmotherley letter in place.
_      Governance structure (including terms of reference) with clearly aligned goals and incentives.
_      Formal Project Portfolio Management (PPM) methodologies are in use.",GATE_3
6.7,Management,"Does the project have resources with, where required, the appropriate skills and experience?","_      There is a clear understanding of the capabilities required for the delivery phase of the project,
in particular those required to manage the supply chain.",GATE_3
6.8,Management,How is the project managing the risks overall including in relation to resource constraints and overall market capacity? This is particularly relevant for novel technology.,"_      Detailed risk register and risk management plan.
_      The project has a robust Quantitative Risk Assessment (QRA) in place to ensure that accurate risk registers can be compiled.
_      Evidence that the risk register is used in appropriate governance forums.
_      Risk owners, mitigating actions are captured, updated and signed off.
_      Risk appetite should be considered in context of departmental strategy with clear mitigation measures and residual risks.
_      Evidence that no insurance or other hedging strategies are incorporated in the calculation of risk.",GATE_3
6.9,Management,"Does the project management team have a clear view of the interdependencies between projects, the
benefits, and the criteria against which success will be judged?","_      List of critical interdependencies and evidence on how projects/programmes keep track of this.
_      Evidence that the project has the right capacity/ capability to deliver the project, covering a wide range of skills.",GATE_3
6.1,Management,Is the delivery body ready to stand up and move into delivery?,"_      Matured governance, the right people in the leadership (capability and experience) and evidence that they are working well together.
_      A delivery RACI between the supplier and the organisation is in place.
_      Evidence that contract managers are in place who understand the contract.",GATE_3
6.11,Management,"Are there business contingency and continuity arrangements and plans that aim to minimise the impact
on the business in the event of major problems during implementation and rollout? Has this been approved by key stakeholders.","_      Risk assessment.
_      Business continuity plans including rollback arrangements.
_      Data security plan and strategy is in place.
_      Evidence of approval by key stakeholders.",GATE_3
6.12,Management,Is the organisation ready for business change?,"_      Staff are well prepared and trained.
_      Evidence plans for business preparation and the operational phases are in place.
_      The Project should demonstrate that it has a detailed understanding of the impact it will have on the business and a detailed plan for the business change that will be required to deliver the project outcomes.
_      Evidence that a change impact assessment has been completed to ensure that the change is not going to stretch the organisation too far.",GATE_3
6.13,Management,Does the reporting and reporting structure support robust and timely decision making?,"_      Evidence of comprehensive management of reports and the use of technology where possible to improve information over time.
_      A mature suite of interconnected reports are maintained where content and insights are identifiable across the suite.
_      Reports are received by the right individuals/ boards or groups to facilitate timely
decision-making.
_      Reports are continually reviewed, focussed to support key organisational decision making and strategy and evolve as improved information or technology becomes available.
_      Reports should highlight progress to date, whether the current work scope is likely to be completed to plan, prevailing risks and issues and any decisions or direction required.
_      Reporting should include commentary on the level of risk to successful delivery that remains in the programme.
_      Planned vs actual expenditure/ activity up to FBC has been in line with previous plans.",GATE_3
6.14,Management,"Is the project founded upon realistic timescales, taking account of statutory lead times, and showing critical dependencies (including external) such that any delays can be handled?","_      Key planning assumptions documented and signed off.
_      Parallel risks included to cover if key assumptions are flawed.
_      Interviewees have a consistent understanding of the schedule challenges.
_      Clear path to delivery with limited dependencies.
_      Risk allowance included for any key assumptions.
_      No imposed changes expected to the agreed schedule.
_      The supply chain is incentivised to deliver on time.
_      Assess the adequacy of the time for testing, commissioning and system integration.",GATE_3
6.15,Management,"Is there an implementation plan with clear milestones and handover phases identified?
Is there an implementation strategy?","_      Key handover criteria defined in construction contracts.
_      Signed off implementation strategy that is aligned with contractual requirements for key suppliers.",GATE_3
6.16,Management,"Does the monitoring and evaluation plan include all necessary indicators
and methods of collection and analysis?","_      Evidence that the monitoring and evaluation plan includes indicators to capture in a meaningful way the economic, social, environmental
and climate benefits of the initiative. For climate mitigation and adaptation, projects can refer to the most recent CCC list of key indicators for adaptation and mitigation or to their departmental and wider Government commitments and relevant metrics on
sustainability, climate mitigation, adaptation or the environment.
_      Evidence that a system and processes are in place to monitor, report and use GHG emissions data from project implementation stages
such as PAS2080 or similar as advised in the Construction Playbook.
_      Where relevant, projects are encouraged to draw on existing SDG indicators (if closely aligned and fit for purpose).
_      Where indicators are being developed for monitoring the project, there should be a consideration of how these indicators can be disaggregated by key characteristics (age, sex, geography, disability) where relevant, in order to support the SDG principle of Leave No One Behind.",GATE_3
6.17,Management,Does the project have a robust reporting process?,"_      The project should demonstrate a mature suite of interconnected reports are maintained where content and insights are identifiable across the suite. Reports are continually reviewed, focussed to support key organisational decision making and strategy and evolve as improved information or technology becomes available. Benchmarking plays a key role in recommended decisions and options based on analytics.
_      The Project should demonstrate plans and processes are in place to publish key cost, schedule and performance data for each stage of the project delivery lifecycle.",GATE_3
6.18,Management,"Does the project have all of the required products in place, and approved, required for this gate?","_      The project should have all of the required products produced, and approved by the Project Board before coming to the gate.
_      Refer to the Project Documentation section for a summary of the products required.",GATE_3
6.19,Management,Does the project have the capability to deliver the project?,"_      The project should demonstrate that it has the right resources with the right experience including a bottom-up resource model with underpinning assumptions that supports the delivery of the plan.
_      The Project should demonstrate evidence of robust resource estimation and planning and resource allocation to ensure delivery of the project objectives.",GATE_3
6.2,Management,Does the project have proper controls that hold the project team to account for timely and quality delivery?,"_      The Project Execution Document should set out:
_      The overall programme controls (progress tracking, risk management, issue identification and resolution, impact assessment) are defined.
_      Interdependencies between other programmes and projects defined, with adequate plans for managing them.
_      For collaborative programmes, accountabilities and governance arrangements for different organisations defined and agreed.
_      Parties in the delivery chain identified and an approach to them working together established.
_      Processes to manage and record key project information and decision-making.
_      Clear governance structure with a RACI in place.",GATE_3
6.21,Management,Does the project have a clearly defined architecture?,"_      Project & Programme business cases and Project Delivery Documents should include a project structure and business case structure that shows:
_      The perimeter of the programme and its respective Projects.
_       All business cases that will be included in the project.
_      How costs and benefits will be tracked and aggregated from Projects to the overarching Programme.
_      Approved programme/project and business case structures will be reviewed at each gate, any changes must be clearly demonstrated and must have gone through formal change controls.",GATE_3
6.22,Management,Does the project have mechanisms in place to learn lessons?,"_      The project should demonstrate that it has conducted a lessons learnt exercise pre-gate 3 and learnt lessons from other recent similar projects across UK gov and help inform its business case and delivery approach.
_      The project should demonstrate that there is a mechanism in place to learn lessons from its own delivery regardless of the stage in the project delivery lifecycle.
_      This mechanism should lead to Project Board reports on lessons learnt when appropriate action is taken. Lessons should also be provided to the Department Portfolio Office for inclusion in Portfolio system learning.",GATE_3
6.23,Management,"Does the project have an in-depth understanding of risk, and is there a process
to identify, assess, allocate, manage and monitor current, anticipated and emerging risks and issues?","_      Risk management processes are outlined in the RAID Log.
_      Project risks are identified through engagement with stakeholders and articulated in terms
of serierty, proximity and likelihood with comprehensive mitigating actions and residual risks articulated in the risk tab of the projects RAID log.
_      The risk register should show risks relating to the strategy, economics, commercials, financials and management (focusing on deliverability) of the project. Each business case that is produced should include the relevant risks in the relevant case and show how the risk has changed since the last Gate.",GATE_3
6.24,Management,Has the project used robust planning and estimation techniques?,"_      Planning and estimation techniques include: Analogous estimation, Parametric estimation, Delphi method, 3 Point Estimate, Expert Judgment, Published Data Estimates, Vendor Bid Analysis, Reserve Analysis, Bottom-Up Analysis, and Simulation.
_      Projects should demonstrate objectives, planning assumptions, constraints, activities and quality plans alongside schedules. Deliverables and milestones should be defined and agreed
for all stages. Detail should be high for the immediate next stage.
_      The Programme/Project should demonstrate that it is controlling its schedule, and the impact of delays on benefits and cost. The schedule should be baselined at each business case stage and changes to the baseline should be reflected in the costs and benefits of the project.",GATE_3
6.25,Management,"Have programmes and projects defined an integrated plan for
undertaking assurance and approvals (IAAP)?","_      A defined and integrated plan for undertaking assurance and approvals in place, is regularly reviewed, updated and maintained, with a plan to do so until closure.
_      Assurance measures to include:
_      Critical friends to the project (e.g. internal audit, procurement, specialists and/or peer reviewers co-opted onto the Project Board) appointed.
_      Health-checks and/or policy reviews incorporated into plans.
_      2nd Line of defence assurance through the Department Portfolio Office.
_      Gate assurance through the IPA.",GATE_3
2.26,Management,"Does the project have an adequate Project/
Programme Management Office (PMO) capability?","_      The project should demonstrate that the PMO is maintaining the integrity of the business cases (programme and project level), managing the collation and escalation of risk, issues, dependencies, constraints, and reporting at project level.
_      Projects and programmes are expected to demonstrate that they have a project office in their project organisation.",GATE_3
1.1,General,"Is the project planning to publish a summary of its business case in line with requirements set out in the National
Infrastructure Strategy?",_      All Government Major Project Portfolio (GMPP) infrastructure and construction projects must publish a summary of their business case within four months of receiving final approval from HMT,GATE_3
1.2,Strategic,How are off-site construction methods being applied in this programme and project?,"_      Project team demonstrates the use of digital technologies and standardisation of assets e.g. the adoption of best
practice from the manufacturing sector, such as off-site construction.
_      Evidence that off-site construction methods have been considered by the project team.",GATE_3
1.3,Strategic,"How has the project explored opportunities for incorporating emerging digital and manufacturing technologies, such as Artificial Technology (AI) and smart sensors?",_      Evidence of consideration for the use of emerging digital and manufacturing technologies in their work.,GATE_3
2.1,Economic,"Has the project completed a Project Outcome
Profile to assess how the programme/project will contribute to government's priority outcomes as
set out in the Public Value Framework?","_      A completed Project Outcome Profile e.g. productivity, carbon emissions, regional increase in GVA etc.
_      A defined plan for driving performance across the lifecycle with well-articulated, measurable Key Performance Indicators (KPIs) to track progress.
_      A defined approach that describes the interfaces with the Supply Chain and how performance
of the Supply Chain will be measured and monitored.
_      Articulated how the project fits into the SNAP model (System, Networks, Assets, Projects) for Infrastructure and how benefits are realised across departments and other stakeholders such as local authorities, combined authorities etc.
_      Peer reviewed economic models should be in place which underpin the projects benefit forecasts.
_      Earned value reporting should be embedded.
_      A project risk register should exist. The project Quantitative Cost Risk Analysis (QCRA) should be regularly updated to provide an up to date
contingency drawdown curve to support monthly progress meetings.",GATE_3
3.1,Commercial,"How is the supply chain being incentivised to use emerging digital and manufacturing technologies to achieve for example increased
productivity and whole life requirements?","_      Demonstrating the use of collaborative business models.
_      Integrated supply chain management practices creating skilled jobs in manufacturing and digital design.
_      Regular consultation with supply chain and delivery partners.",GATE_3
3.2,Commercial,What operational performance and contract management system will be employed as the asset goes into service?,"_      Evaluation of available systems and input (including sign off) from the SRO and appropriate governance received.
_      Evidence of performance indicators.
_      Operations and maintenance requirements have been appropriately incorporated into sponsor requirements.",GATE_3
3.3,Commercial,"How will the supplier ensure that the facility is safe to operate
and maintain?","_      Information on how the assets are being satisfactorily maintained, especially the 'hidden' ones such as mechanical and electrical systems.
_      Plans for the delivery of maintenance over the lifecycle of the asset.
_      Clear plans to meet or exceed sustainability targets met or exceeded.
_      Plans and methodology for assessing customer/ stakeholder experience and satisfaction.",GATE_3
4.1,Financial,Are cost estimates robust and benchmarked? How has the programme/project assured themselves that the baseline is credible and how is this implemented?,"_      The cost estimates are underpinned by a bottom-up approach supported by a clear set of signed off assumptions. The Project should demonstrate how the original Cost Model compares to the estimates submitted by the bidders and the Preferred Bidder.
_      The project should demonstrate that cost estimates have been built up using a number of planning and estimating techniques and cost benchmarking. The cost range should be wide at this gate with QCRA at P90.
_      For the largest schemes, it is expected to see independent assurance on the processes used to derive cost estimates plus benchmarking
to validate against national/ international comparators.
_      Regular reports are produced which detail S curves and the project's spend profile, the
reports should also detail risks and proposed contingencies.
_      A top down benchmarking exercise has been completed to validate the cost estimate.
_      There may be benchmarking between suppliers on the scheme or benchmarking between similar national/ international comparators. May include unit cost comparison (e.g. Â£/ km or per asset e.g. viaducts).
_      A bottom-up benchmarking exercise has been carried out to validate the key rates & pricing. This should also consider indirect costs e.g. overall project management/ oversight.",GATE_3
5.1,Management,"What is the approach to whole life cycle
performance management of the assets being built and contractors delivering the project?",_      Evidence that the project and its objectives are continually reviewed as well as evidence that the contractors are reviewed.,GATE_3
5.2,Management,Is the project planning to enter service cautiously and is it clear who is accountable for making the decision to commission?,"_      Clear approach to transition, traced through to the Management Case.
_      Clear evidence on supplier responsibilities for commissioning, testing and go live.
_      May consider technical assurance to confirm gap analysis has taken place.
_      An operator exists who will become the project lead through the stages of testing, commissioning and entry into service. This
operator should be embedded into the planning for this stage of the project from the outset,
a good example being that of the West Coast Partnership vis a vis the testing, commissioning and handover of HS2.
_      The end user perspective is considered when making decisions.
_      Service entry has been considered from early in the life cycle.
_      There are appropriate resources/capabilities in place to start this phase.",GATE_3
5.3,Management,"Planning regimes : have the impact of
planning/ consents been appropriately reflected in the schedule?","_      Comprehensive plan detailing considerations for planning regime and consent.
_      Planning permissions/ consents included in the timeline.
_      Sufficient time allowed for approvals.
_      Performed QSRA, clear pinch points are identified. The risks informing the critical path are understood.",GATE_3
5.4,Management,"For transport projects, do plans go beyond the construction of the civil works?","_      Evidence of plans for e.g. rolling stock, system integration, commissioning, concession/ franchise appointment, phased introduction including key pinch points for operations like timetable changes.",GATE_3
5.5,Management,"Commissioning : has the project planned from right to left to consider the impact of the commissioning
regime (particularly from regulators) to ensure safety and readiness
for operation?","_      Comprehensive plan detailing commissioning regimes (where appropriate).
_      Evidence that data security is being delivered inline with Government Digital Services (GDS).",GATE_3
5.6,Management,"Have the results of the surveys, trials, tests and pilots been evaluated? Do they show positive results?","_      Surveying is a particular key for construction works (i.e. regular site surveys, ground condition surveys, environmental/ asbestos surveys).
_      Surveying reports should demonstrate trial testing has taken place and shows positive results.
_      Lessons learned, identified and evidence that the approach has been varied where previous problems have arisen.",GATE_3
,,,,GATE_2